activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003011500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,32,1,2,2,1,195000.0,60.0,6.625,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,325000,1,3,3,5,2,NA,140,43,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,NA,1,1,1,,,,,10,,,,2908,20.22,105700,127.01,1076,1140,63
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003012600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,2,32,1,2,2,2,185000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,90,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,3,,,,,10,,,,2945,30.8,105700,92.39,947,1151,64
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003010400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Sex Not Available,1,71,2,1,32,1,2,2,2,205000.0,80.0,6.99,1.028,2,8979.95,NA,7725.0,6130.0,,360,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,73,30%-<36%,1,9,3,,,,,3,,,,,2,2,5,,,,,6,,,,,2,2,3,3,2,2,55-64,65-74,Yes,Yes,1,1,2,,,,,10,,,,4591,29.93,105700,94.85,1102,1397,57
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003016307,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,2,2,32,1,2,2,2,405000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,87,NA,9,9,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,3,,,,,10,,,,2756,55.3,105700,102.28,905,928,29
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003016307,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,32,1,2,2,2,275000.0,76.389,5.625,0.215,2,19266.03,NA,12633.58,11038.58,,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,75,45,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,NA,1,1,3,,,,,10,,,,2756,55.3,105700,102.28,905,928,29
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003010703,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,3,32,1,2,2,2,525000.0,100.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,525000,1,1,3,5,1,NA,160,42,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,1,6,,,,,7,,,,2036,45.53,105700,87.28,503,627,69
2023,549300AG64NHILB7ZP05,20100,DE,10001,10001040206,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,2,32,1,2,2,2,385000.0,76.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,89,49,3,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,3,,,,,3,,,,7643,47.61,85300,103.52,2299,2423,15
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003016609,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,2,31,1,2,2,2,425000.0,60.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,635000,1,1,3,5,1,NA,128,30%-<36%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,3,,,,,3,,,,5595,19.77,105700,156.04,1606,1637,24
2023,549300AG64NHILB7ZP05,41540,DE,10005,10005050708,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Joint,1,3,2,1,4,1,2,2,2,225000.0,30.0,5.375,-0.671,2,10449.2,NA,8797.25,7202.25,,360,NA,NA,2,2,2,2,755000,1,1,3,5,1,NA,63,37,2,9,3,,,,,2,,,,,2,2,5,,,,,6,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,2,,,,,10,,,,2774,20.37,93300,83.73,1074,1732,16
2023,549300AG64NHILB7ZP05,41540,DE,10005,10005051314,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,32,1,2,2,2,155000.0,33.333,6.375,0.354,2,6172.95,NA,4955.0,3360.0,64.4,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,35,44,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,1,,,,,10,,,,2525,8.51,93300,142.3,1166,2762,17
